Journal title,ISSN,eISSN,Categorias,Indexador
Acm Transactions On Multimedia Computing Communications And Applications,1551-6857,1551-6865,"Computer Science, Information Systems, Software Engineering, Theory & Methods",Web of Science - SCIE
Acm Transactions On Parallel Computing,2329-4949,2329-4957,"Computer Science, Theory & Methods",Web of Science - ESCI
Acm Transactions On Privacy And Security,2471-2566,2471-2574,"Computer Science, Information Systems",Web of Science - SCIE
Acm Transactions On Programming Languages And Systems,0164-0925,1558-4593,"Computer Science, Software Engineering",Web of Science - SCIE
Acm Transactions On Quantum Computing,2643-6809,2643-6817,"Computer Science, Theory & Methods, Quantum Science & Technology",Web of Science - ESCI
Acm Transactions On Recommender Systems,2770-6699,2770-6699,"Computer Science, Artificial Intelligence, Information Systems",Web of Science - ESCI
Acm Transactions On Reconfigurable Technology And Systems,1936-7406,1936-7414,"Computer Science, Hardware & Architecture",Web of Science - SCIE
Acm Transactions On Sensor Networks,1550-4859,1550-4867,"Computer Science, Information Systems, Telecommunications",Web of Science - SCIE
Acm Transactions On Software Engineering And Methodology,1049-331X,1557-7392,"Computer Science, Software Engineering",Web of Science - SCIE
Acm Transactions On Spatial Algorithms And Systems,2374-0353,2374-0361,Remote Sensing,Web of Science - ESCI
Acm Transactions On Storage,1553-3077,1553-3093,"Computer Science, Hardware & Architecture, Software Engineering",Web of Science - SCIE
Acm Transactions On The Web,1559-1131,1559-114X,"Computer Science, Information Systems, Software Engineering",Web of Science - SCIE
Acoustical Physics,1063-7710,1562-6865,Acoustics,Web of Science - SCIE
Acoustical Science And Technology,1346-3969,1347-5177,Acoustics,Web of Science - ESCI
Acoustics,2624-599X,2624-599X,Acoustics,Web of Science - ESCI
Acoustics Australia,0814-6039,1839-2571,Acoustics,Web of Science - SCIE
Acque Sotterranee-Italian Journal Of Groundwater,1828-454X,1828-454X,Water Resources,Web of Science - ESCI
Acr Open Rheumatology,2578-5745,2578-5745,Rheumatology,Web of Science - ESCI
Across Languages And Cultures,1585-1923,1588-2519,"Linguistics, Language & Linguistics","Web of Science - AHCI, Web of Science - SSCI"
Acs Agricultural Science & Technology,2692-1952,2692-1952,"Agriculture, Multidisciplinary, Chemistry, Applied",Web of Science - ESCI
Acs Applied Bio Materials,2576-6422,2576-6422,"Nanoscience & Nanotechnology, Materials Science, Biomaterials",Web of Science - ESCI
Acs Applied Electronic Materials,2637-6113,2637-6113,"Engineering, Electrical & Electronic, Materials Science, Multidisciplinary",Web of Science - SCIE
