Journal title,ISSN,eISSN,Categorias,Indexador
Italian Journal Of Geosciences,2038-1719,2038-1727,"Geosciences, Multidisciplinary",Web of Science - SCIE
Italian Journal Of Linguistics,1120-2726,1120-2726,Linguistics,Web of Science - ESCI
Italian Journal Of Medicine,1877-9344,1877-9352,"Medicine, General & Internal",Web of Science - ESCI
Italian Journal Of Pediatrics,1720-8424,1824-7288,Pediatrics,Web of Science - SCIE
Italian Journal Of Planning Practice,2239-267X,2239-267X,Architecture,Web of Science - ESCI
Italian Journal Of Pure And Applied Mathematics,1126-8042,2239-0227,Mathematics,Web of Science - ESCI
Italian Journal Of Vascular And Endovascular Surgery,1824-4777,1827-1847,Peripheral Vascular Diseases,Web of Science - ESCI
Italiano Linguadue,2037-3597,2037-3597,Language & Linguistics,Web of Science - ESCI
Italian Political Science Review-Rivista Italiana Di Scienza Politica,0048-8402,2057-4908,Political Science,Web of Science - ESCI
Italian Studies,0075-1634,1748-6181,"Humanities, Multidisciplinary, Literature, Romance",Web of Science - AHCI
Italica Belgradensia,0353-4766,2812-877X,"Language & Linguistics, Literature, Romance",Web of Science - ESCI
I Tatti Studies,0393-5949,2037-6731,Medieval & Renaissance Studies,Web of Science - ESCI
Itea-Informacion Tecnica Economica Agraria,1699-6887,2386-3765,"Agriculture, Dairy & Animal Science, Agronomy",Web of Science - SCIE
Ite Journal-Institute Of Transportation Engineers,0162-8178,,"Engineering, Civil, Transportation Science & Technology",Web of Science - SCIE
Ite Transactions On Media Technology And Applications,2186-7364,2186-7364,"Engineering, Electrical & Electronic",Web of Science - ESCI
Itineraria,1594-1019,1594-1019,"Humanities, Multidisciplinary",Web of Science - ESCI
Itinerario-Journal Of Imperial And Global Interactions,0165-1153,2041-2827,History,"Web of Science - AHCI, Web of Science - SSCI"
Itinerarios-Revista De Literatura,0103-815X,,Literature,Web of Science - ESCI
It-Information Technology,1611-2776,2196-7032,"Computer Science, Information Systems",Web of Science - ESCI
Itl-International Journal Of Applied Linguistics,0019-0829,1783-1490,"Linguistics, Language & Linguistics",Web of Science - ESCI
It Professional,1520-9202,1941-045X,"Computer Science, Information Systems, Software Engineering, Telecommunications",Web of Science - SCIE
Iubmb Life,1521-6543,1521-6551,"Biochemistry & Molecular Biology, Cell Biology",Web of Science - SCIE
Iucrj,2052-2525,2052-2525,"Chemistry, Multidisciplinary, Crystallography, Materials Science",Web of Science - SCIE
Ius Canonicum,0021-325X,2254-6219,Law,Web of Science - ESCI
Ius Humani-Revista De Derecho,1390-440X,1390-7794,Law,Web of Science - ESCI
Izquierdas,0718-5049,0718-5049,Political Science,Web of Science - ESCI
Izvestiya Atmospheric And Oceanic Physics,0001-4338,1555-628X,"Meteorology & Atmospheric Sciences, Oceanography",Web of Science - SCIE
Izvestiya Instituta Matematiki I Informatiki-Udmurtskogo Gosudarstvennogo Universiteta,2226-3594,2410-1737,Mathematics,Web of Science - ESCI
Izvestiya Mathematics,1064-5632,1468-4810,Mathematics,Web of Science - SCIE
Izvestiya Of Saratov University Mathematics Mechanics Informatics,1816-9791,2541-9005,Mathematics,Web of Science - ESCI
Izvestiya-Physics Of The Solid Earth,1069-3513,1555-6506,Geochemistry & Geophysics,Web of Science - SCIE
Izvestiya Uralskogo Federalnogo Universiteta-Seriya 2-Gumanitarnye Nauki,2227-2283,2587-6929,"Humanities, Multidisciplinary",Web of Science - ESCI
Izvestiya Vuzov-Prikladnaya Khimiya I Biotekhnologiya,2227-2925,2500-1558,"Chemistry, Multidisciplinary",Web of Science - ESCI
Izvestiya Vysshikh Uchebnykh Zavedenii Khimiya I Khimicheskaya Tekhnologiya,0579-2991,2500-3070,"Chemistry, Multidisciplinary",Web of Science - ESCI
Izvestiya Vysshikh Uchebnykh Zavedeniy-Prikladnaya Nelineynaya Dinamika,0869-6632,2542-1905,"Physics, Multidisciplinary",Web of Science - ESCI
J19-The Journal Of Nineteenth-Century Americanists,2166-742X,2166-7438,"Literature, American",Web of Science - ESCI
Jaacap Open,2949-7329,2949-7329,"Pediatrics, Psychiatry",Web of Science - ESCI
Jaad International,2666-3287,2666-3287,Dermatology,Web of Science - ESCI
Jaapa-Journal Of The American Academy Of Physician Assistants,1547-1896,0893-7400,"Medicine, General & Internal",Web of Science - SCIE
Jac-Antimicrobial Resistance,2632-1823,2632-1823,"Infectious Diseases, Microbiology, Pharmacology & Pharmacy",Web of Science - ESCI
Jacc-Advances,2772-963X,2772-963X,Cardiac & Cardiovascular System,Web of Science - ESCI
Jacc-Asia,2772-3747,2772-3747,Cardiac & Cardiovascular System,Web of Science - ESCI
Jacc-Basic To Translational Science,2452-302X,2452-302X,Cardiac & Cardiovascular System,Web of Science - SCIE
Jacc: Cardiooncology,2666-0873,2666-0873,"Oncology, Cardiac & Cardiovascular System",Web of Science - SCIE
Jacc-Cardiovascular Imaging,1936-878X,1876-7591,"Cardiac & Cardiovascular System, Radiology, Nuclear Medicine & Medical Imaging",Web of Science - SCIE
Jacc-Cardiovascular Interventions,1936-8798,1876-7605,Cardiac & Cardiovascular System,Web of Science - SCIE
Jacc-Clinical Electrophysiology,2405-500X,2405-5018,Cardiac & Cardiovascular System,Web of Science - SCIE
Jacc-Heart Failure,2213-1779,2213-1787,Cardiac & Cardiovascular System,Web of Science - SCIE
Jacc-Journal Of The American College Of Cardiology,0735-1097,1558-3597,Cardiac & Cardiovascular System,Web of Science - SCIE
Ja Clinical Reports,2363-9024,2363-9024,Anesthesiology,Web of Science - ESCI
Jacs Au,2691-3704,2691-3704,"Chemistry, Multidisciplinary",Web of Science - ESCI
Jahrbuch Der Berliner Museen,0075-2207,,Art,Web of Science - AHCI
Jahrbuch Der Oesterreichischen Byzantinistik,0378-8660,1810-536X,Medieval & Renaissance Studies,Web of Science - ESCI
Jahrbucher Fur Geschichte Osteuropas,0021-4019,2366-2891,History,Web of Science - AHCI
Jahrbucher Fur Nationalokonomie Und Statistik,0021-4027,2366-049X,"Economics, Social Sciences, Mathematical Methods",Web of Science - SSCI
Jahrbuch Fur Internationale Germanistik,0449-5233,2235-1280,"Literature, German, Dutch, Scandinavian",Web of Science - AHCI
Jahrbuch Fur Wirtschaftsgeschichte,0075-2800,2196-6842,"Economics, History",Web of Science - ESCI
Jaids-Journal Of Acquired Immune Deficiency Syndromes,1525-4135,1077-9450,"Immunology, Infectious Diseases",Web of Science - SCIE
Jama Cardiology,2380-6583,2380-6591,Cardiac & Cardiovascular System,Web of Science - SCIE
Jama Dermatology,2168-6068,2168-6084,Dermatology,Web of Science - SCIE
Jama Health Forum,2689-0186,2689-0186,"Health Care Sciences & Services, Public, Environmental & Occupational Health, Health Policy & Services","Web of Science - SCIE, Web of Science - SSCI"
Jama Internal Medicine,2168-6106,2168-6114,"Medicine, General & Internal",Web of Science - SCIE
Jama-Journal Of The American Medical Association,0098-7484,1538-3598,"Medicine, General & Internal",Web of Science - SCIE
Jama Network Open,2574-3805,2574-3805,"Medicine, General & Internal",Web of Science - SCIE
Jama Neurology,2168-6149,2168-6157,Clinical Neurology,Web of Science - SCIE
Jama Oncology,2374-2437,2374-2445,Oncology,Web of Science - SCIE
Jama Ophthalmology,2168-6165,2168-6173,Ophthalmology,Web of Science - SCIE
Jama Otolaryngology-Head & Neck Surgery,2168-6181,2168-619X,"Otorhinolaryngology, Surgery",Web of Science - SCIE
Jama Pediatrics,2168-6203,2168-6211,Pediatrics,Web of Science - SCIE
Jama Psychiatry,2168-622X,2168-6238,Psychiatry,"Web of Science - SCIE, Web of Science - SSCI"
Jama Surgery,2168-6254,2168-6262,Surgery,Web of Science - SCIE
Jamba-Journal Of Disaster Risk Studies,1996-1421,2072-845X,"Social Sciences, Interdisciplinary",Web of Science - ESCI
James Joyce Quarterly,0021-4183,1938-6036,"Literature, British Isles",Web of Science - AHCI
Jamia Open,2574-2531,2574-2531,"Health Care Sciences & Services, Medical Informatics",Web of Science - ESCI
Janac-Journal Of The Association Of Nurses In Aids Care,1055-3290,1552-6917,"Public, Environmental & Occupational Health, Nursing","Web of Science - SCIE, Web of Science - SSCI"
Janus-Estudios Sobre El Siglo De Oro,2254-7290,2254-7290,"Literature, Romance",Web of Science - ESCI
Japan And The World Economy,0922-1425,1879-2006,Economics,Web of Science - SSCI
Japan Architectural Review,2475-8876,2475-8876,Architecture,Web of Science - ESCI
Japanese Accounting Review,2185-4785,2185-4793,"Business, Finance",Web of Science - ESCI
Japanese Dental Science Review,1882-7616,2213-6851,"Dentistry, Oral Surgery & Medicine",Web of Science - SCIE
Japanese Economic Review,1352-4739,1468-5876,Economics,Web of Science - SSCI
Japanese Journal Of Applied Entomology And Zoology,0021-4914,1347-6068,Entomology,Web of Science - SCIE
Japanese Journal Of Applied Physics,0021-4922,1347-4065,"Physics, Applied",Web of Science - SCIE
Japanese Journal Of Clinical Oncology,0368-2811,1465-3621,Oncology,Web of Science - SCIE
Japanese Journal Of Infectious Diseases,1344-6304,1884-2836,Infectious Diseases,Web of Science - SCIE
Japanese Journal Of Mathematics,0289-2316,1861-3624,Mathematics,Web of Science - SCIE
Japanese Journal Of Ophthalmology,0021-5155,1613-2246,Ophthalmology,Web of Science - SCIE
Japanese Journal Of Political Science,1468-1099,1474-0060,Political Science,Web of Science - SSCI
Japanese Journal Of Radiology,1867-1071,1867-108X,"Radiology, Nuclear Medicine & Medical Imaging",Web of Science - SCIE
Japanese Journal Of Religious Studies,0304-1042,0304-1042,Religion,Web of Science - AHCI
Japanese Journal Of Sociology,2769-1365,2769-1357,"Sociology, Social Sciences, General",Web of Science - ESCI
Japanese Journal Of Statistics And Data Science,2520-8756,2520-8764,Statistics & Probability,Web of Science - ESCI
Japanese Journal Of Veterinary Research,0047-1917,0047-1917,Veterinary Sciences,Web of Science - SCIE
Japanese Political Economy,2329-194X,2329-1958,Economics,Web of Science - ESCI
Japanese Psychological Research,1468-5884,1468-5884,"Psychology, Multidisciplinary",Web of Science - SSCI
Japanese Studies,1037-1397,1469-9338,Area Studies,Web of Science - ESCI
Japanese Studies In Russia,2500-2872,2500-2872,Area Studies,Web of Science - ESCI
Japan Forum,0955-5803,1469-932X,Area Studies,Web of Science - ESCI
Japan Journal Of Industrial And Applied Mathematics,0916-7005,1868-937X,"Mathematics, Applied",Web of Science - SCIE
Japan Journal Of Nursing Science,1742-7932,1742-7924,Nursing,"Web of Science - SCIE, Web of Science - SSCI"
Japan Review,0915-0986,2434-3129,Asian Studies,Web of Science - ESCI
Jaro-Journal Of The Association For Research In Otolaryngology,1525-3961,1438-7573,"Neurosciences, Otorhinolaryngology",Web of Science - SCIE
Jarq-Japan Agricultural Research Quarterly,0021-3551,2185-8896,"Agriculture, Multidisciplinary",Web of Science - SCIE
Jasa Express Letters,2691-1191,2691-1191,"Acoustics, Audiology & Speech-Language Pathology",Web of Science - ESCI
Jasss-The Journal Of Artificial Societies And Social Simulation,1460-7425,1460-7425,"Social Sciences, Interdisciplinary",Web of Science - SSCI
Jati-Journal Of Southeast Asian Studies,1823-4127,2600-8653,"Social Sciences, Interdisciplinary",Web of Science - ESCI
Javma-Journal Of The American Veterinary Medical Association,0003-1488,1943-569X,Veterinary Sciences,Web of Science - SCIE
Javnost-The Public,1318-3222,1854-8377,Communication,Web of Science - SSCI
Jazz Research Journal,1753-8637,1753-8645,Music,Web of Science - ESCI
Jbi Evidence Implementation,2691-3321,2691-3321,"Health Care Sciences & Services, Medicine, General & Internal",Web of Science - SCIE
Jbi Evidence Synthesis,2689-8381,2689-8381,Health Care Sciences & Services,Web of Science - ESCI
Jbjs Essential Surgical Techniques,2160-2204,2160-2204,"Orthopedics, Surgery",Web of Science - ESCI
Jbjs Open Access,2472-7245,2472-7245,"Orthopedics, Surgery",Web of Science - ESCI
Jbjs Reviews,2329-9185,2329-9185,"Orthopedics, Surgery",Web of Science - ESCI
Jbmr Plus,2473-4039,2473-4039,Endocrinology & Metabolism,Web of Science - ESCI
Jci Insight,2379-3708,2379-3708,"Medicine, Research & Experimental",Web of Science - SCIE
Jcis Open,2666-934X,2666-934X,"Chemistry, Multidisciplinary, Physical",Web of Science - ESCI
Jcms-Journal Of Cinema And Media Studies,2578-4900,2578-4919,"Film, Radio, Television",Web of Science - AHCI
Jcms-Journal Of Common Market Studies,0021-9886,1468-5965,"Economics, International Relations, Political Science",Web of Science - SSCI
Jco Clinical Cancer Informatics,2473-4276,2473-4276,Oncology,Web of Science - ESCI
Jco Global Oncology,2687-8941,2687-8941,Oncology,Web of Science - ESCI
Jcom-Journal Of Science Communication,1824-2049,1824-2049,Communication,Web of Science - ESCI
Jco Oncology Practice,2688-1527,2688-1535,Oncology,Web of Science - SCIE
Jco Precision Oncology,2473-4284,2473-4284,Oncology,Web of Science - SCIE
Jcpp Advances,2692-9384,2692-9384,"Psychology, Development, Psychiatry",Web of Science - ESCI
Jcpsp-Journal Of The College Of Physicians And Surgeons Pakistan,1022-386X,1681-7168,"Medicine, General & Internal",Web of Science - SCIE
Jcr-Journal Of Clinical Rheumatology,1076-1608,1536-7355,Rheumatology,Web of Science - SCIE
Jdr Clinical & Translational Research,2380-0844,2380-0852,"Dentistry, Oral Surgery & Medicine",Web of Science - ESCI
Jds Communications,2666-9102,2666-9102,"Agriculture, Dairy & Animal Science",Web of Science - ESCI
Jeadv Clinical Practice,2768-6566,2768-6566,Dermatology,Web of Science - ESCI
Jebat-Malaysian Journal Of History Politics And Strategic Studies,0126-5644,2180-0251,History,Web of Science - ESCI
Jetp Letters,0021-3640,1090-6487,"Physics, Multidisciplinary",Web of Science - SCIE
Jeunesse-Young People Texts Cultures,1920-2601,1920-261X,"Humanities, Multidisciplinary",Web of Science - ESCI
Jeu-Revue De Theatre,0382-0335,1923-2578,Theater,Web of Science - ESCI
Jewish Film & New Media-An International Journal,2169-0324,2169-0332,"Film, Radio, Television",Web of Science - ESCI
Jewish Historical Studies-Transactions Of The Jewish Historical Society Of England,0962-9696,2397-1290,History,Web of Science - ESCI
Jewish History,0334-701X,1572-8579,History,Web of Science - AHCI
Jewish Quarterly Review,0021-6682,1553-0604,"Humanities, Multidisciplinary",Web of Science - ESCI
Jewish Social Studies,0021-6704,1527-2028,"Humanities, Multidisciplinary",Web of Science - ESCI
Jewish Studies Quarterly,0944-5706,1868-6788,"Humanities, Multidisciplinary",Web of Science - ESCI
Jezikoslovlje,1331-7202,1848-9001,Language & Linguistics,Web of Science - ESCI
Jfr-Journal Of Family Research,2699-2337,2699-2337,Family Studies,Web of Science - SSCI
Jgh Open,2397-9070,2397-9070,Gastroenterology & Hepatology,Web of Science - ESCI
Jhep Reports,2589-5559,2589-5559,Gastroenterology & Hepatology,Web of Science - SCIE
Jid Innovations,2667-0267,2667-0267,Dermatology,Web of Science - ESCI
Jimd Reports,2192-8312,2192-8312,"Endocrinology & Metabolism, Genetics & Heredity",Web of Science - ESCI
Jims8M-The Journal Of Indian Management & Strategy,0973-9335,0973-9343,Management,Web of Science - ESCI
Jirss-Journal Of The Iranian Statistical Society,1726-4057,2538-189X,Statistics & Probability,Web of Science - ESCI
Jlis.It,2038-5366,2038-1026,Information Science & Library Science,Web of Science - ESCI
Jma Journal,2433-328X,2433-3298,"Medicine, General & Internal",Web of Science - ESCI
Jmir Aging,2561-7605,2561-7605,"Geriatrics & Gerontology, Medical Informatics, Gerontology","Web of Science - SCIE, Web of Science - SSCI"
Jmir Ai,2817-1705,2817-1705,"Health Care Sciences & Services, Medical Informatics",Web of Science - ESCI
Jmir Cancer,2369-1999,2369-1999,Oncology,Web of Science - ESCI
Jmir Cardio,2561-1011,2561-1011,Cardiac & Cardiovascular System,Web of Science - ESCI
Jmir Dermatology,2562-0959,2562-0959,Dermatology,Web of Science - ESCI
Jmir Diabetes,2371-4379,2371-4379,"Health Care Sciences & Services, Endocrinology & Metabolism",Web of Science - ESCI
Jmir Formative Research,2561-326X,2561-326X,"Health Care Sciences & Services, Medical Informatics",Web of Science - ESCI
Jmir Human Factors,2292-9495,2292-9495,"Health Care Sciences & Services, Medical Informatics",Web of Science - ESCI
Jmir Infodemiology,2564-1891,2564-1891,"Health Care Sciences & Services, Public, Environmental & Occupational Health",Web of Science - ESCI
Jmir Medical Education,2369-3762,2369-3762,"Education, Scientific Disciplines",Web of Science - SCIE
Jmir Medical Informatics,2291-9694,2291-9694,Medical Informatics,Web of Science - SCIE
Jmir Mental Health,2368-7959,2368-7959,Psychiatry,Web of Science - SCIE
Jmir Mhealth And Uhealth,2291-5222,2291-5222,"Health Care Sciences & Services, Medical Informatics",Web of Science - SCIE
Jmir Nursing,2562-7600,2562-7600,Nursing,Web of Science - ESCI
Jmir Pediatrics And Parenting,2561-6722,2561-6722,Pediatrics,Web of Science - ESCI
Jmir Perioperative Medicine,2561-9128,2561-9128,Surgery,Web of Science - ESCI
Jmir Public Health And Surveillance,2369-2960,2369-2960,"Public, Environmental & Occupational Health","Web of Science - SCIE, Web of Science - SSCI"
Jmir Rehabilitation And Assistive Technologies,2369-2529,2369-2529,"Health Care Sciences & Services, Rehabilitation",Web of Science - ESCI
Jmir Research Protocols,1929-0748,1929-0748,"Health Care Sciences & Services, Public, Environmental & Occupational Health",Web of Science - ESCI
Jmir Serious Games,2291-9279,2291-9279,"Health Care Sciences & Services, Public, Environmental & Occupational Health, Medical Informatics",Web of Science - SCIE
Jmir Xr And Spatial Computing,2818-3045,2818-3045,"Health Care Sciences & Services, Medical Informatics",Web of Science - ESCI
Jmm-International Journal On Media Management,1424-1277,1424-1250,Communication,Web of Science - ESCI
Jnci Cancer Spectrum,2515-5091,2515-5091,Oncology,Web of Science - ESCI
Jnci-Journal Of The National Cancer Institute,0027-8874,1460-2105,Oncology,Web of Science - SCIE
Jnp- The Journal For Nurse Practitioners,1555-4155,1878-058X,Nursing,"Web of Science - SCIE, Web of Science - SSCI"
Jnt-Journal Of Narrative Theory,1549-0815,1548-9248,Literature,Web of Science - AHCI
Jognn-Journal Of Obstetric Gynecologic And Neonatal Nursing,0884-2175,1552-6909,"Nursing, Obstetrics & Gynecology","Web of Science - SCIE, Web of Science - SSCI"
Johns Hopkins Apl Technical Digest,0270-5214,1930-0530,"Engineering, Multidisciplinary",Web of Science - ESCI
Johnson Matthey Technology Review,2056-5135,2056-5135,"Chemistry, Physical",Web of Science - SCIE
Joint Bone Spine,1297-319X,1778-7254,Rheumatology,Web of Science - SCIE
Joint Commission Journal On Quality And Patient Safety,1553-7250,1938-131X,Health Care Sciences & Services,Web of Science - ESCI
Joint Diseases And Related Surgery,2687-4792,2687-4792,"Orthopedics, Surgery",Web of Science - SCIE
Jokull,0449-0576,0449-0576,"Geosciences, Multidisciplinary",Web of Science - SCIE
Jom,1047-4838,1543-1851,"Materials Science, Multidisciplinary, Metallurgy & Metallurgical Engineering, Mineralogy, Mining & Mineral Processing",Web of Science - SCIE
Jomr-Journal Of Oral & Maxillofacial Research,2029-283X,2029-283X,"Dentistry, Oral Surgery & Medicine",Web of Science - ESCI
Jordanian Journal Of Computers And Information Technology,2413-9351,2415-1076,"Computer Science, Information Systems, Telecommunications",Web of Science - ESCI
Jordan Journal Of Chemistry,1814-9111,2079-7249,"Chemistry, Multidisciplinary",Web of Science - ESCI
Jordan Journal Of Civil Engineering,1993-0461,2225-157X,"Engineering, Civil",Web of Science - ESCI
Jordan Journal Of Electrical Engineering,2409-9600,2409-9619,"Computer Science, Information Systems, Engineering, Electrical & Electronic",Web of Science - ESCI
Jordan Journal Of Mathematics And  Statistics,2075-7905,2227-5487,Mathematics,Web of Science - ESCI
Jordan Journal Of Modern Languages & Literature,1994-6953,2304-8069,Language & Linguistics,Web of Science - ESCI
Jordan Journal Of Physics,1994-7607,1994-7615,"Physics, Multidisciplinary",Web of Science - ESCI
Jornal Brasileiro De Nefrologia,0101-2800,2175-8239,Urology & Nephrology,Web of Science - ESCI
Jornal Brasileiro De Pneumologia,1806-3713,1806-3756,Respiratory System,Web of Science - SCIE
Jornal Brasileiro De Reproducao Assistida,1517-5693,1518-0557,Obstetrics & Gynecology,Web of Science - ESCI
Jornal De Pediatria,0021-7557,1678-4782,Pediatrics,Web of Science - SCIE
Jornal Vascular Brasileiro,1677-5449,1677-7301,Peripheral Vascular Diseases,Web of Science - ESCI
Jor Spine,2572-1143,2572-1143,Orthopedics,Web of Science - SCIE
Joule,2542-4351,2542-4351,"Chemistry, Physical, Energy & Fuels, Materials Science, Multidisciplinary",Web of Science - SCIE
Journal Asiatique,0021-762X,1783-1504,Asian Studies,Web of Science - AHCI
Journal Awwa,0003-150X,1551-8833,"Engineering, Civil, Water Resources",Web of Science - SCIE
Journal D Analyse Mathematique,0021-7670,1565-8538,Mathematics,Web of Science - SCIE
Journal De La Societe Des Americanistes,0037-9174,1957-7842,Anthropology,Web of Science - ESCI
Journal De L Ecole Polytechnique-Mathematiques,2429-7100,2270-518X,Mathematics,Web of Science - SCIE
Journal De Mathematiques Pures Et Appliquees,0021-7824,1776-3371,"Mathematics, Applied",Web of Science - SCIE
Journal De Mycologie Medicale,1156-5233,1773-0449,Mycology,Web of Science - SCIE
Journal Der Deutschen Dermatologischen Gesellschaft,1610-0379,1610-0387,Dermatology,Web of Science - SCIE
Journal De Theorie Des Nombres De Bordeaux,1246-7405,2118-8572,Mathematics,Web of Science - SCIE
Journal For Critical Education Policy Studies,2051-0969,1740-2743,Education & Educational Research,Web of Science - ESCI
Journal For Cultural Research,1479-7585,1740-1666,Cultural Studies,Web of Science - ESCI
Journal For Early Modern Cultural Studies,1531-0485,1553-3786,Cultural Studies,Web of Science - ESCI
Journal For Educational Research Online-Jero,1866-6671,1866-6671,Education & Educational Research,Web of Science - ESCI
Journal For Eighteenth-Century Studies,1754-0194,1754-0208,"Humanities, Multidisciplinary",Web of Science - AHCI
Journal For European Environmental & Planning Law,1613-7272,1876-0104,Law,Web of Science - ESCI
Journal For General Philosophy Of Science,0925-4560,1572-8587,History & Philosophy Of Science,Web of Science - AHCI
Journal For Geometry And Graphics,1433-8157,1433-8157,Mathematics,Web of Science - ESCI
Journal For Healthcare Quality,1062-2551,1945-1474,"Health Care Sciences & Services, Health Policy & Services","Web of Science - SCIE, Web of Science - SSCI"
Journal For Immunotherapy Of Cancer,2051-1426,2051-1426,"Oncology, Immunology",Web of Science - SCIE
Journal For International Business And Entrepreneurship Development,1549-9324,1747-6763,Business,Web of Science - ESCI
Journal For Labour Market Research,2510-5019,2510-5027,Industrial Relations & Labor,Web of Science - ESCI
Journal For Multicultural Education,2053-535X,2053-535X,Education & Educational Research,Web of Science - ESCI
Journal For Nature Conservation,1617-1381,1618-1093,"Biodiversity Conservation, Ecology",Web of Science - SCIE
Journal For New Generation Sciences,1684-4998,1684-4998,"Social Sciences, Interdisciplinary",Web of Science - ESCI
Journal For Nurses In Professional Development,2169-9798,2169-981X,Nursing,Web of Science - ESCI
Journal For Peace And Nuclear Disarmament,2575-1654,2575-1654,International Relations,Web of Science - ESCI
Journal For Research In Mathematics Education,0021-8251,1945-2306,Education & Educational Research,Web of Science - SSCI
Journal For Semitics,1013-8471,1013-8471,"Humanities, Multidisciplinary",Web of Science - ESCI
Journal For Specialists In Group Work,0193-3922,1549-6295,"Psychology, Clinical",Web of Science - ESCI
Journal For Specialists In Pediatric Nursing,1539-0136,1744-6155,"Nursing, Pediatrics","Web of Science - SCIE, Web of Science - SSCI"
Journal For The Academic Study Of Religion,2047-704X,2047-7058,Religion,Web of Science - ESCI
Journal For The Cognitive Science Of Religion,2049-7555,2049-7563,Religion,Web of Science - ESCI
Journal For The Education Of The Gifted,0162-3532,2162-9501,"Education, Special",Web of Science - ESCI
Journal For The History Of Astronomy,0021-8286,1753-8556,History & Philosophy Of Science,"Web of Science - AHCI, Web of Science - SCIE"
Journal For The History Of Modern Theology-Zeitschrift Fur Neuere Theologiegeschichte,0943-7592,1612-9776,Religion,Web of Science - ESCI
Journal For The Measurement Of Physical Behaviour,2575-6605,2575-6613,Sport Sciences,Web of Science - ESCI
Journal For The Scientific Study Of Religion,0021-8294,1468-5906,"Sociology, Religion","Web of Science - AHCI, Web of Science - SSCI"
Journal For The Study Of Christian Culture,2071-9957,2071-9957,Religion,Web of Science - ESCI
Journal For The Study Of Education And Development,0210-3702,1578-4126,"Psychology, Educational, Development",Web of Science - SSCI
Journal For The Study Of Judaism,0047-2212,1570-0631,"History, Religion",Web of Science - AHCI
Journal For The Study Of Religion,1011-7601,1011-7601,Religion,Web of Science - ESCI
Journal For The Study Of Religion Nature And Culture,1749-4907,1749-4915,Religion,Web of Science - ESCI
Journal For The Study Of Religions And Ideologies,1583-0039,1583-0039,Religion,Web of Science - AHCI
Journal For The Study Of Spirituality,2044-0243,2044-0251,Religion,Web of Science - ESCI
Journal For The Study Of Sports And Athletes In Education,1935-7397,1935-7400,Education & Educational Research,Web of Science - ESCI
Journal For The Study Of The Historical Jesus,1476-8690,1745-5197,Religion,Web of Science - AHCI
Journal For The Study Of The New Testament,0142-064X,1745-5294,Religion,Web of Science - AHCI
Journal For The Study Of The Old Testament,0309-0892,1476-6728,Religion,Web of Science - AHCI
Journal For The Study Of The Pseudepigrapha,0951-8207,1745-5286,Religion,Web of Science - ESCI
Journal For The Theory Of Social Behaviour,0021-8308,1468-5914,"Psychology, Social",Web of Science - SSCI
Journal Francais D Ophtalmologie,0181-5512,1773-0597,Ophthalmology,Web of Science - SCIE
Journal Fur Die Reine Und Angewandte Mathematik,0075-4102,1435-5345,Mathematics,Web of Science - SCIE
Journal Fur Endokrinologie Diabetologie Und Stoffwechsel,3004-8915,3004-8923,Endocrinology & Metabolism,Web of Science - ESCI
Journal Fur Hypertonie,1028-2327,1680-9378,Cardiac & Cardiovascular System,Web of Science - ESCI
Journal Fur Kardiologie,1024-0098,1680-936X,Cardiac & Cardiovascular System,Web of Science - ESCI
Journal Fur Kulturpflanzen,1867-0911,1867-0938,"Agronomy, Plant Sciences",Web of Science - ESCI
Journal Fur Mathematik-Didaktik,0173-5322,1869-2699,Education & Educational Research,Web of Science - ESCI
Journalism,1464-8849,1741-3001,Communication,Web of Science - SSCI
Journalism & Mass Communication Quarterly,1077-6990,2161-430X,Communication,Web of Science - SSCI
Journalism And Media,2673-5172,2673-5172,Communication,Web of Science - ESCI
Journalism Practice,1751-2786,1751-2794,Communication,Web of Science - SSCI
Journalism Studies,1461-670X,1469-9699,Communication,Web of Science - SSCI
Journal Of Aapos,1091-8531,1528-3933,"Ophthalmology, Pediatrics",Web of Science - SCIE
Journal Of Abdominal Wall Surgery,2813-2092,2813-2092,Surgery,Web of Science - ESCI
Journal Of Academic Ethics,1570-1727,1572-8544,Ethics,Web of Science - ESCI
Journal Of Academic Language And Learning,1835-5196,1835-5196,Education & Educational Research,Web of Science - ESCI
Journal Of Academic Librarianship,0099-1333,1879-1999,Information Science & Library Science,Web of Science - SSCI
Journal Of Academic Research In Medicine-Jarem,2146-6505,2147-1894,"Medicine, General & Internal",Web of Science - ESCI
Journal Of Accounting & Economics,0165-4101,1879-1980,"Business, Finance, Economics",Web of Science - SSCI
Journal Of Accounting  And Organizational Change,1832-5912,1839-5473,"Business, Finance",Web of Science - ESCI
Journal Of Accounting And Public Policy,0278-4254,1873-2070,"Business, Finance, Public Administration",Web of Science - SSCI
Journal Of Accounting Auditing And Finance,0148-558X,2160-4061,"Business, Finance",Web of Science - ESCI
Journal Of Accounting In Emerging Economies,2042-1168,2042-1176,"Business, Finance",Web of Science - ESCI
Journal Of Accounting Literature,0737-4607,2452-1469,"Business, Finance",Web of Science - ESCI
Journal Of Accounting Research,0021-8456,1475-679X,"Business, Finance",Web of Science - SSCI
Journal Of Accounting Review,1018-1687,1018-1687,"Business, Finance",Web of Science - ESCI
Journal Of Active And Passive Electronic Devices,1555-0281,1555-029X,"Engineering, Electrical & Electronic",Web of Science - ESCI
