Título da Revista,ISSN,Homepage,Área do Conhecimento Traduzido,Grande Área CNPq 1,Grande Área CNPq 2,Indexador,JIF,Quartil JCR,SJR,SJR Best Quartile,H index,CNPq_Grande_Area,CNPq_Area_Conhecimento
Theory and Research in Social Education,0093-3104,,Ciências Sociais,Ciências Humanas,,Scopus,"2,1",Q1,"1,389",Q1,58.0,Outras / Não Classificado,Geral / Multidisciplinar
Theory and Society,1573-7853,,"Artes e Humanidades, Ciências Sociais","Letras e Artes, Lingüística",Ciências Humanas,Scopus,"1,4",Q2,"0,725",Q1,100.0,"Lingüística, Letras e Artes",Artes
Theory in Biosciences,1611-7530,,"Ciências Agrárias e Biológicas, Matemática",Ciências Agrárias,Ciências Exatas e da Terra,Scopus,"1,4",Q3,"0,361",Q3,45.0,Outras / Não Classificado,Geral / Multidisciplinar
Theory into Practice,0040-5841,,Ciências Sociais,Ciências Humanas,,Scopus,"1,9",Q2,"0,835",Q1,90.0,Outras / Não Classificado,Geral / Multidisciplinar
Theory of Computing,1557-2862,,"Ciência da Computação, Matemática",Ciências Exatas e da Terra,,Scopus,-,-,"0,348",Q3,25.0,Outras / Não Classificado,Geral / Multidisciplinar
Theory of Computing Systems,1433-0490,,"Ciência da Computação, Matemática",Ciências Exatas e da Terra,,Scopus,"0,4",Q4,"0,295",Q3,52.0,Outras / Não Classificado,Geral / Multidisciplinar
Theory of Probability and Mathematical Statistics,0094-9000,,"Ciências da Decisão, Matemática",Ciências Exatas e da Terra,,Scopus,"0,6",Q4,"0,302",Q3,16.0,Outras / Não Classificado,Geral / Multidisciplinar
Theory of Probability and its Applications,0040-585X,,"Ciências da Decisão, Matemática",Ciências Exatas e da Terra,,Scopus,"0,6",Q4,"0,344",Q3,37.0,Outras / Não Classificado,Geral / Multidisciplinar
Theory of Stochastic Processes,0321-3900,,Matemática,Ciências Exatas e da Terra,,Scopus,-,-,"0,116",Q4,8.0,Ciências Exatas e da Terra,Matemática
"Theory, Culture and Society",0263-2764,,Ciências Sociais,Ciências Humanas,,Scopus,"2,3",Q1,"1,025",Q1,140.0,Outras / Não Classificado,Geral / Multidisciplinar
Theranostics (discontinued),1838-7640,,"Farmacologia, Medicina, Toxicologia e Farmacêutica",Ciências da Saúde,,Scopus,-,-,-,-,199.0,Ciências Biológicas,Farmacologia
Therapeutic Advances in Cardiovascular Disease,1753-9455,,Medicina,Ciências da Saúde,,Scopus,"2,2",Q2,"0,862",Q2,44.0,Ciências da Saúde,Medicina
Therapeutic Advances in Chronic Disease,2040-6231,,Medicina,Ciências da Saúde,,Scopus,"2,8",Q2,"0,937",Q1,59.0,Ciências da Saúde,Medicina
Therapeutic Advances in Drug Safety,2042-0986,,Medicina,Ciências da Saúde,,Scopus,"3,4",Q2,"0,833",Q2,55.0,Ciências da Saúde,Medicina
Therapeutic Advances in Endocrinology and Metabolism,2042-0196,,Medicina,Ciências da Saúde,,Scopus,"4,6",Q1,"1,642",Q1,54.0,Ciências da Saúde,Medicina
Therapeutic Advances in Gastroenterology,1756-283X,,Medicina,Ciências da Saúde,,Scopus,-,-,"1,123",Q1,77.0,Ciências da Saúde,Medicina
Therapeutic Advances in Gastrointestinal Endoscopy,2631-7745,,Medicina,Ciências da Saúde,,Scopus,-,-,"0,521",Q3,22.0,Ciências da Saúde,Medicina
Therapeutic Advances in Hematology,2040-6207,,Medicina,Ciências da Saúde,,Scopus,"3,1",Q2,"1,018",Q1,41.0,Ciências da Saúde,Medicina
Therapeutic Advances in Infectious Disease,2049-937X,,Medicina,Ciências da Saúde,,Scopus,"3,4",Q2,"0,948",Q2,38.0,Ciências da Saúde,Medicina
Therapeutic Advances in Medical Oncology,1758-8340,,Medicina,Ciências da Saúde,,Scopus,"4,2",Q2,"1,416",Q1,80.0,Ciências da Saúde,Medicina
Therapeutic Advances in Musculoskeletal Disease,1759-720X,,Medicina,Ciências da Saúde,,Scopus,"4,1",Q1,"1,19",Q1,59.0,Ciências da Saúde,Medicina
Therapeutic Advances in Neurological Disorders,1756-2864,,"Farmacologia, Medicina, Neurociência, Toxicologia e Farmacêutica",Ciências da Saúde,Ciências Biológicas,Scopus,"4,1",Q1,"1,243",Q1,81.0,Ciências Biológicas,Farmacologia
Therapeutic Advances in Ophthalmology,2515-8414,,Medicina,Ciências da Saúde,,Scopus,-,-,"0,795",Q2,26.0,Ciências da Saúde,Medicina
Therapeutic Advances in Psychopharmacology,2045-1261,,Medicina,Ciências da Saúde,,Scopus,4,Q1,"1,321",Q1,52.0,Ciências da Saúde,Medicina
Therapeutic Advances in Pulmonary and Critical Care Medicine,2976-8675,,Medicina,Ciências da Saúde,,Scopus,-,-,"0,375",Q3,25.0,Ciências da Saúde,Medicina
Therapeutic Advances in Rare Disease,2633-0040,,Medicina,Ciências da Saúde,,Scopus,-,-,"0,503",Q3,11.0,Ciências da Saúde,Medicina
Therapeutic Advances in Respiratory Disease,1753-4658,,Medicina,Ciências da Saúde,,Scopus,3,Q2,"1,009",Q1,59.0,Ciências da Saúde,Medicina
Therapeutic Advances in Urology,1756-2872,,Medicina,Ciências da Saúde,,Scopus,"3,5",Q1,"1,111",Q1,48.0,Ciências da Saúde,Medicina
Therapeutic Advances in Vaccines and Immunotherapy,2515-1355,,"Farmacologia, Imunologia e Microbiologia, Medicina, Toxicologia e Farmacêutica",Ciências Biológicas,Ciências da Saúde,Scopus,-,-,"0,832",Q2,20.0,Ciências Biológicas,Biologia Geral
Therapeutic Apheresis and Dialysis,1744-9987,,Medicina,Ciências da Saúde,,Scopus,"1,2",Q3,"0,453",Q3,65.0,Ciências da Saúde,Medicina
Therapeutic Communities,0964-1866,,"Medicina, Profissões da Saúde, Psicologia",Ciências da Saúde,Ciências Humanas,Scopus,-,-,"0,216",Q3,21.0,Ciências da Saúde,Medicina
Therapeutic Delivery,2041-5990,,"Farmacologia, Toxicologia e Produtos Farmacêuticos",Outros,,Scopus,"2,2",Q3,"0,462",Q2,74.0,Ciências Biológicas,Farmacologia
Therapeutic Drug Monitoring,1536-3694,,"Farmacologia, Medicina, Toxicologia e Farmacêutica",Ciências da Saúde,,Scopus,"2,4",Q2,"0,587",Q2,108.0,Ciências Biológicas,Farmacologia
Therapeutic Hypothermia and Temperature Management,2153-7933,,Medicina,Ciências da Saúde,,Scopus,1,Q4,"0,317",Q3,20.0,Ciências da Saúde,Medicina
Therapeutic Innovation and Regulatory Science,2168-4790,,"Farmacologia, Medicina, Toxicologia e Farmacêutica",Ciências da Saúde,,Scopus,"1,9",Q3,"0,902",Q1,57.0,Ciências Biológicas,Farmacologia
Therapeutic Radiology and Oncology,2616-2768,,"Enfermagem, Medicina, Profissões da Saúde",Ciências da Saúde,,Scopus,-,-,"0,23",Q3,6.0,Ciências da Saúde,Medicina
Therapeutic Research,0289-8020,,Medicina,Ciências da Saúde,,Scopus,-,-,"0,112",Q4,8.0,Ciências da Saúde,Medicina
Therapeutic advances in allergy and rhinology,2753-4030,,Medicina,Ciências da Saúde,,Scopus,-,-,"0,415",Q3,17.0,Ciências da Saúde,Medicina
Therapeutics and Clinical Risk Management,1176-6336,,"Ciências Sociais, Engenharia Química, Farmacologia, Medicina, Toxicologia e Farmacêutica",Multidisciplinar,,Scopus,-,-,"0,73",Q1,79.0,Ciências Biológicas,Farmacologia
Therapeutische Umschau. Revue therapeutique,0040-5930,,Medicina,Ciências da Saúde,,Scopus,"0,2",Q4,"0,142",Q4,21.0,Ciências da Saúde,Medicina
Therapies,0040-5957,,Medicina,Ciências da Saúde,,Scopus,"1,8",Q3,"0,557",Q3,46.0,Ciências da Saúde,Medicina
Theriogenology,0093-691X,,"Ciências Agrárias e Biológicas, Veterinária",Ciências Agrárias,,Scopus,"2,5",Q1,"0,78",Q1,160.0,Outras / Não Classificado,Geral / Multidisciplinar
Theriologia Ukrainica,2617-1120,,"Ciência Ambiental, Ciências Agrárias e Biológicas",Ciências Agrárias,Ciências Exatas e da Terra,Scopus,-,-,"0,243",Q3,5.0,Outras / Não Classificado,Geral / Multidisciplinar
Thermal Engineering,0040-6015,,Energia,Engenharias,,Scopus,1,Q4,"0,298",Q3,27.0,Outras / Não Classificado,Geral / Multidisciplinar
Thermal Science,0354-9836,,Energia,Engenharias,,Scopus,"1,1",Q4,"0,262",Q4,64.0,Outras / Não Classificado,Geral / Multidisciplinar
Thermal Science and Engineering Progress,2451-9049,,Engenharia Química,Engenharias,,Scopus,-,-,"0,986",Q1,78.0,Engenharias,Engenharia Química
Thermo,2673-7264,,"Energia, Engenharia, Engenharia Química",Engenharias,,Scopus,-,-,"0,551",Q2,15.0,Outras / Não Classificado,Geral / Multidisciplinar
Thermochimica Acta,0040-6031,,"Física e Astronomia, Química",Ciências Exatas e da Terra,,Scopus,"3,5",Q2,"0,634",Q2,171.0,Ciências Exatas e da Terra,Astronomia
Thermology International,1560-604X,,Medicina,Ciências da Saúde,,Scopus,-,-,"0,111",Q4,18.0,Ciências da Saúde,Medicina
Thermophysics and Aeromechanics,0869-8643,,"Energia, Engenharia, Física e Astronomia, Matemática",Engenharias,Ciências Exatas e da Terra,Scopus,"0,6",Q4,"0,254",Q3,29.0,Ciências Exatas e da Terra,Astronomia
Therya,2007-3364,,Ciências Agrárias e Biológicas,Ciências Agrárias,,Scopus,-,-,"0,3",Q3,17.0,Outras / Não Classificado,Geral / Multidisciplinar
Thesis Eleven,1461-7455,,"Artes e Humanidades, Ciências Sociais","Letras e Artes, Lingüística",Ciências Humanas,Scopus,"0,4",Q4,"0,28",Q1,38.0,"Lingüística, Letras e Artes",Artes
Thin Solid Films,0040-6090,,"Ciência dos Materiais, Física e Astronomia",Engenharias,Ciências Exatas e da Terra,Scopus,2,Q3,"0,408",Q2,225.0,Ciências Exatas e da Terra,Astronomia
